ID,FullName,BirthYear,Country,Username,Gmail,Password,Phone
192387,Ciro Immobile,1990,Italy,ciroimmobile1990,ciroimmobile1990@gmail.com,#000036AJ,09120876558
195864,Paul Pogba,1993,France,paulpogba1993,paulpogba1993@gmail.com,#000037AK,09120837579
209658,Leon Goretzka,1995,Germany,leongoretzka1995,leongoretzka1995@gmail.com,#000038AL,09121985700
207865,Marcos Aoás Corrêa,1994,Brazil,marcosaoscorra1994,marcosaoscorra1994@gmail.com,#000039AM,09121138217
211110,Paulo Dybala,1994,Argentina,paulodybala1994,paulodybala1994@gmail.com,#000040AN,09128190060
216267,Andrew Robertson,1994,Scotland,andrewrobertson1994,andrewrobertson1994@gmail.com,#000041AO,09129595506
228702,Frenkie de Jong,1997,Netherlands,frenkiedejong1997,frenkiedejong1997@gmail.com,#000042AP,09126186540
231281,Trent Alexander-Arnold,1999,England,trentalexanderarnold1999,trentalexanderarnold1999@gmail.com,#000043AQ,09121054110
239818,Rúben Santos Gato Alves Dias,1997,Portugal,rbensantosgatoalvesdias1997,rbensantosgatoalvesdias1997@gmail.com,#000044AR,09121018282
153079,Sergio Agüero,1988,Argentina,sergioagero1988,sergioagero1988@gmail.com,#000045AS,09128052369
167948,Hugo Lloris,1987,France,hugolloris1987,hugolloris1987@gmail.com,#000046AT,09122080550
233049,Jadon Sancho,2000,England,jadonsancho2000,jadonsancho2000@gmail.com,#000047AU,09122726200
201024,Kalidou Koulibaly,1991,Senegal,kalidoukoulibaly1991,kalidoukoulibaly1991@gmail.com,#000048AV,09122001347
232363,Milan Škriniar,1995,Slovakia,milankriniar1995,milankriniar1995@gmail.com,#000049AW,09121151011
201535,Raphaël Varane,1993,France,raphalvarane1993,raphalvarane1993@gmail.com,#000050AX,09121151112
198219,Lorenzo Insigne,1991,Italy,lorenzoinsigne1991,lorenzoinsigne1991@gmail.com,#000051AY,09126218500
192984,Koen Casteels,1992,Belgium,koencasteels1992,koencasteels1992@gmail.com,#000052AZ,09127324590
189513,Daniel Parejo Muñoz,1989,Spain,danielparejomuoz1989,danielparejomuoz1989@gmail.com,#000053BA,09122005740
189511,Sergio Busquets Burgos,1989,Spain,sergiobusquetsburgos1989,sergiobusquetsburgos1989@gmail.com,#000054BB,09125869410
189509,Thiago Alcântara,1991,Spain,thiagoalcntara1991,thiagoalcntara1991@gmail.com,#000055BC,09121200328
189332,Jordi Alba Ramos,1989,Spain,jordialbaramos1989,jordialbaramos1989@gmail.com,#000056BD,09123575300
178603,Mats Hummels,1989,Germany,matshummels1989,matshummels1989@gmail.com,#000057BE,09128572572
138956,Giorgio Chiellini,1985,Italy,giorgiochiellini1985,giorgiochiellini1985@gmail.com,#000058BF,09121093008
162835,Samir Handanovič,1985,Slovenia,samirhandanovi1985,samirhandanovi1985@gmail.com,#000059BG,09122592594
231866,Rodrigo Hernández Cascante,1996,Spain,rodrigohernndezcascante1996,rodrigohernndezcascante1996@gmail.com,#000060BH,09121019105
226161,Marcos Llorente Moreno,1995,Spain,marcosllorentemoreno1995,marcosllorentemoreno1995@gmail.com,#000061BI,09126113706
204485,Riyad Mahrez,1991,Algeria,riyadmahrez1991,riyadmahrez1991@gmail.com,#000062BJ,09125555526
208093,Gerard Moreno Balagueró,1992,Spain,gerardmorenobalaguer1992,gerardmorenobalaguer1992@gmail.com,#000063BK,09123663661
208830,Jamie Vardy,1987,England,jamievardy1987,jamievardy1987@gmail.com,#000064BL,09124444091
210514,João Pedro Cavaco Cancelo,1994,Portugal,joopedrocavacocancelo1994,joopedrocavacocancelo1994@gmail.com,#000065BM,09121044446
212218,Aymeric Laporte,1994,Spain,aymericlaporte1994,aymericlaporte1994@gmail.com,#000066BN,09120820296
213345,Kingsley Coman,1996,France,kingsleycoman1996,kingsleycoman1996@gmail.com,#000067BO,09121002919
218667,Bernardo Mota Carvalho e Silva,1995,Portugal,bernardomotacarvalhoesilva1995,bernardomotacarvalhoesilva1995@gmail.com,#000068BP,09121003539
209499,Fábio Henrique Tavares,1994,Brazil,fbiohenriquetavares1994,fbiohenriquetavares1994@gmail.com,#000069BQ,09121106996
201942,Roberto Firmino Barbosa de Oliveira,1992,Brazil,robertofirminobarbosadeoliveira1992,robertofirminobarbosadeoliveira1992@gmail.com,#000070BR,09126270116
194765,Antoine Griezmann,1991,France,antoinegriezmann1991,antoinegriezmann1991@gmail.com,#000071BS,09127444027
183277,Eden Hazard,1991,Belgium,edenhazard1991,edenhazard1991@gmail.com,#000072BT,09121212296
185122,Péter Gulácsi,1990,Hungary,ptergulcsi1990,ptergulcsi1990@gmail.com,#000073BU,09123638891
179813,Edinson Cavani,1987,Uruguay,edinsoncavani1987,edinsoncavani1987@gmail.com,#000074BV,09120142764
177683,Yann Sommer,1989,Switzerland,yannsommer1989,yannsommer1989@gmail.com,#000075BW,09120705890
168542,David Josué Jiménez Silva,1986,Spain,davidjosujimnezsilva1986,davidjosujimnezsilva1986@gmail.com,#000076BX,09125726785
202556,Memphis Depay,1994,Netherlands,memphisdepay1994,memphisdepay1994@gmail.com,#000077BY,09122385379
163587,Kasper Schmeichel,1987,Denmark,kasperschmeichel1987,kasperschmeichel1987@gmail.com,#000078BZ,09128861727
143076,Alejandro Gómez,1988,Argentina,alejandrogmez1988,alejandrogmez1988@gmail.com,#000079CA,09120411581
186942,İlkay Gündoğan,1991,Germany,lkaygndoan1991,lkaygndoan1991@gmail.com,#000080CB,09128807950
188350,Marco Reus,1989,Germany,marcoreus1989,marcoreus1989@gmail.com,#000081CC,09128306214
184344,Leonardo Bonucci,1987,Italy,leonardobonucci1987,leonardobonucci1987@gmail.com,#000082CD,09120030241
188377,Kyle Walker,1990,England,kylewalker1990,kylewalker1990@gmail.com,#000083CE,09129407402
188567,Pierre-Emerick Aubameyang,1989,Gabon,pierreemerickaubameyang1989,pierreemerickaubameyang1989@gmail.com,#000084CF,09129269441
193747,Jorge Resurrección,1992,Spain,jorgeresurreccin1992,jorgeresurreccin1992@gmail.com,#000085CG,09128123912
164240,Thiago Emiliano da Silva,1985,Brazil,thiagoemilianodasilva1985,thiagoemilianodasilva1985@gmail.com,#000086CH,09122837956
206113,Serge Gnabry,1996,Germany,sergegnabry1996,sergegnabry1996@gmail.com,#000087CI,09120149514
198176,Stefan de Vrij,1992,Netherlands,stefandevrij1992,stefandevrij1992@gmail.com,#000088CJ,09120407918
235243,Matthijs de Ligt,2000,Netherlands,matthijsdeligt2000,matthijsdeligt2000@gmail.com,#000089CK,09120829522
235212,Achraf Hakimi,1999,Morocco,achrafhakimi1999,achrafhakimi1999@gmail.com,#000090CL,09127881591
231677,Marcus Rashford,1998,England,marcusrashford1998,marcusrashford1998@gmail.com,#000091CM,09127870776
231478,Lautaro Martínez,1998,Argentina,lautaromartnez1998,lautaromartnez1998@gmail.com,#000092CN,09122910091
230142,Mikel Oyarzabal Ugarte,1997,Spain,mikeloyarzabalugarte1997,mikeloyarzabalugarte1997@gmail.com,#000093CO,09122970097
226790,Wilfred Ndidi,1997,Nigeria,wilfredndidi1997,wilfredndidi1997@gmail.com,#000094CP,09127869869
223848,Sergej Milinković-Savić,1995,Serbia,sergejmilinkovisavi1995,sergejmilinkovisavi1995@gmail.com,#000095CQ,09122121243
205498,Luiz Frello Filho Jorge,1992,Italy,luizfrellofilhojorge1992,luizfrellofilhojorge1992@gmail.com,#000096CR,09128087680
204963,Daniel Carvajal Ramos,1992,Spain,danielcarvajalramos1992,danielcarvajalramos1992@gmail.com,#000097CS,09121248207
200458,Lucas Digne,1994,France,lucasdigne1994,lucasdigne1994@gmail.com,#000098CT,09122797984
197445,David Alaba,1992,Austria,davidalaba1992,davidalaba1992@gmail.com,#000099CU,09122479410
198706,Luis Alberto Romero Alconchel,1993,Spain,luisalbertoromeroalconchel1993,luisalbertoromeroalconchel1993@gmail.com,#000100CV,09122005465
199434,Dušan Tadić,1989,Serbia,duantadi1989,duantadi1989@gmail.com,#000101CW,09129387495
199451,Wissam Ben Yedder,1991,France,wissambenyedder1991,wissambenyedder1991@gmail.com,#000102CX,09120799081
237692,Phil Foden,2000,England,philfoden2000,philfoden2000@gmail.com,#000103CY,09120799082
200647,Josip Iličić,1988,Slovenia,josipilii1988,josipilii1988@gmail.com,#000104CZ,09120799083
202811,Emiliano Martínez,1993,Argentina,emilianomartnez1993,emilianomartnez1993@gmail.com,#000105DA,09120799084
192629,Iago Aspas Juncal,1988,Spain,iagoaspasjuncal1988,iagoaspasjuncal1988@gmail.com,#000106DB,09120799085
203263,Harry Maguire,1993,England,harrymaguire1993,harrymaguire1993@gmail.com,#000107DC,09121032081
193080,David De Gea Quintana,1991,Spain,daviddegeaquintana1991,daviddegeaquintana1991@gmail.com,#000108DD,09128133509
152729,Gerard Piqué Bernabeu,1987,Spain,gerardpiqubernabeu1987,gerardpiqubernabeu1987@gmail.com,#000109DE,09123643640
186345,Kieran Trippier,1991,England,kierantrippier1991,kierantrippier1991@gmail.com,#000110DF,09127969357
184134,Fernando Reges,1988,Brazil,fernandoreges1988,fernandoreges1988@gmail.com,#000111DG,09120139507
183711,Jordan Henderson,1990,England,jordanhenderson1990,jordanhenderson1990@gmail.com,#000112DH,09125190970
181291,Georginio Wijnaldum,1991,Netherlands,georginiowijnaldum1991,georginiowijnaldum1991@gmail.com,#000113DI,09125871260
175943,Dries Mertens,1987,Belgium,driesmertens1987,driesmertens1987@gmail.com,#000114DJ,09125780984
204923,Marcel Sabitzer,1994,Austria,marcelsabitzer1994,marcelsabitzer1994@gmail.com,#000115DK,09125961804
146536,Jesús Navas González,1986,Spain,jessnavasgonzlez1986,jessnavasgonzlez1986@gmail.com,#000116DL,09123097853
41236,Zlatan Ibrahimović,1982,Sweden,zlatanibrahimovi1982,zlatanibrahimovi1982@gmail.com,#000117DM,09123789208
235790,Kai Havertz,1999,Germany,kaihavertz1999,kaihavertz1999@gmail.com,#000118DN,09124759751
204639,Stefan Savić,1991,Montenegro,stefansavi1991,stefansavi1991@gmail.com,#000119DO,09124790721
232656,Theo Hernández,1998,France,theohernndez1998,theohernndez1998@gmail.com,#000120DP,09124938707
216393,Youri Tielemans,1997,Belgium,youritielemans1997,youritielemans1997@gmail.com,#000121DQ,09125873095
206517,Jack Grealish,1996,England,jackgrealish1996,jackgrealish1996@gmail.com,#000122DR,09128532780
216594,Nabil Fekir,1994,France,nabilfekir1994,nabilfekir1994@gmail.com,#000123DS,09129420679
222492,Leroy Sané,1996,Germany,leroysan1996,leroysan1996@gmail.com,#000124DT,09120826916
224232,Nicolò Barella,1997,Italy,nicolbarella1997,nicolbarella1997@gmail.com,#000125DU,09124956481
224334,Marcos Acuña,1992,Argentina,marcosacua1992,marcosacua1992@gmail.com,#000126DV,09126945277
216352,Marcelo Brozović,1993,Croatia,marcelobrozovi1993,marcelobrozovi1993@gmail.com,#000127DW,09124879011
228941,André Miguel Valente da Silva,1996,Portugal,andrmiguelvalentedasilva1996,andrmiguelvalentedasilva1996@gmail.com,#000128DX,09124943256
230938,Franck Yannick Kessié,1997,Côte d'Ivoire,franckyannickkessi1997,franckyannickkessi1997@gmail.com,#000129DY,09126479340
205988,Luke Shaw,1996,England,lukeshaw1996,lukeshaw1996@gmail.com,#000130DZ,09126954600
207862,Matthias Ginter,1994,Germany,matthiasginter1994,matthiasginter1994@gmail.com,#000131EA,09124610342
207863,Felipe Augusto de Almeida Monteiro,1989,Brazil,felipeaugustodealmeidamonteiro1989,felipeaugustodealmeidamonteiro1989@gmail.com,#000132EB,09125687043
208418,Yannick Carrasco,1994,Belgium,yannickcarrasco1994,yannickcarrasco1994@gmail.com,#000133EC,09125608701
208574,Filip Kostić,1993,Serbia,filipkosti1993,filipkosti1993@gmail.com,#000134ED,09124275289
208670,Hakim Ziyech,1993,Morocco,hakimziyech1993,hakimziyech1993@gmail.com,#000135EE,09123859266
209889,Raphaël Guerreiro,1994,Portugal,raphalguerreiro1994,raphalguerreiro1994@gmail.com,#000136EF,09124594766
210243,Ricardo Barbosa Pereira,1994,Portugal,ricardobarbosapereira1994,ricardobarbosapereira1994@gmail.com,#000137EG,09124498105
212188,Timo Werner,1996,Germany,timowerner1996,timowerner1996@gmail.com,#000138EH,09124639116
215698,Mike Maignan,1996,France,mikemaignan1996,mikemaignan1996@gmail.com,#000139EI,09128681870
216460,José María Giménez,1995,Uruguay,josmaragimnez1995,josmaragimnez1995@gmail.com,#000140EJ,09192197521
197655,Sebastián Coates,1991,Uruguay,sebastincoates1991,sebastincoates1991@gmail.com,#000141EK,09124709005
203574,John Stones,1994,England,johnstones1994,johnstones1994@gmail.com,#000142EL,09128369931
199914,Allan Marques Loureiro,1991,Brazil,allanmarquesloureiro1991,allanmarquesloureiro1991@gmail.com,#000143EM,09125302580
200610,Kevin Volland,1993,Germany,kevinvolland1993,kevinvolland1993@gmail.com,#000144EN,09128954313
201153,Álvaro Borja Morata Martín,1993,Spain,lvaroborjamoratamartn1993,lvaroborjamoratamartn1993@gmail.com,#000145EO,09121949891
201399,Mauro Icardi,1993,Argentina,mauroicardi1993,mauroicardi1993@gmail.com,#000146EP,09120978900
202884,Leonardo Spinazzola,1993,Italy,leonardospinazzola1993,leonardospinazzola1993@gmail.com,#000147EQ,09129332460
203841,Nick Pope,1992,England,nickpope1992,nickpope1992@gmail.com,#000148ER,09120303391
204838,Raúl Jiménez,1991,Mexico,raljimnez1991,raljimnez1991@gmail.com,#000149ES,09129306007
199845,Francesco Acerbi,1988,Italy,francescoacerbi1988,francescoacerbi1988@gmail.com,#000150ET,09129170757
192774,Kostas Manolas,1991,Greece,kostasmanolas1991,kostasmanolas1991@gmail.com,#000151EU,09120606092
205452,Antonio Rüdiger,1993,Germany,antoniordiger1993,antoniordiger1993@gmail.com,#000152EV,09906800086
183907,Jérôme Boateng,1989,Germany,jrmeboateng1989,jrmeboateng1989@gmail.com,#000153EW,09120125070
135507,Fernando Luiz Rosa,1985,Brazil,fernandoluizrosa1985,fernandoluizrosa1985@gmail.com,#000154EX,09120515957
169416,Carlos Vela,1989,Mexico,carlosvela1989,carlosvela1989@gmail.com,#000155EY,09120120948
177413,Axel Witsel,1989,Belgium,axelwitsel1989,axelwitsel1989@gmail.com,#000156EZ,09120120865
178750,Sergio Asenjo Andrés,1989,Spain,sergioasenjoandrs1989,sergioasenjoandrs1989@gmail.com,#000157FA,09120120659
179645,Simon Kjær,1989,Denmark,simonkjr1989,simonkjr1989@gmail.com,#000158FB,09120508078
180930,Edin Džeko,1986,Bosnia and Herzegovina,edindeko1986,edindeko1986@gmail.com,#000159FC,09120507760
184087,Toby Alderweireld,1989,Belgium,tobyalderweireld1989,tobyalderweireld1989@gmail.com,#000160FD,09120121574
192883,Henrikh Mkhitaryan,1989,Armenia,henrikhmkhitaryan1989,henrikhmkhitaryan1989@gmail.com,#000161FE,09120121693
184432,César Azpilicueta Tanco,1990,Spain,csarazpilicuetatanco1990,csarazpilicuetatanco1990@gmail.com,#000162FF,09120121846
189575,Iker Muniain Goñi,1993,Spain,ikermuniaingoi1993,ikermuniaingoi1993@gmail.com,#000163FG,09120125100
190286,Sergio Canales Madrazo,1991,Spain,sergiocanalesmadrazo1991,sergiocanalesmadrazo1991@gmail.com,#000164FH,09120046360
190941,Lukáš Hrádecký,1990,Finland,lukhrdeck1990,lukhrdeck1990@gmail.com,#000165FI,09120047176
191043,Alex Sandro Lobo Silva,1991,Brazil,alexsandrolobosilva1991,alexsandrolobosilva1991@gmail.com,#000166FJ,09120047074
192563,Bernd Leno,1992,Germany,berndleno1992,berndleno1992@gmail.com,#000167FK,09120047076
204935,Jordan Pickford,1994,England,jordanpickford1994,jordanpickford1994@gmail.com,#000168FL,09120047079
241486,Jules Koundé,1999,France,juleskound1999,juleskound1999@gmail.com,#000169FM,09120068600
205632,Lucas Ocampos,1995,Argentina,lucasocampos1995,lucasocampos1995@gmail.com,#000170FN,09120045357
225850,Presnel Kimpembe,1996,France,presnelkimpembe1996,presnelkimpembe1996@gmail.com,#000171FO,09120045080
197061,Joel Matip,1992,Cameroon,joelmatip1992,joelmatip1992@gmail.com,#000172FP,09120045090
207410,Mateo Kovačić,1994,Croatia,mateokovai1994,mateokovai1994@gmail.com,#000173FQ,09192113050
242444,João Félix Sequeira,2000,Portugal,jooflixsequeira2000,jooflixsequeira2000@gmail.com,#000174FR,09120067278
239053,Federico Valverde,1999,Uruguay,federicovalverde1999,federicovalverde1999@gmail.com,#000175FS,09120061585
235805,Federico Chiesa,1998,Italy,federicochiesa1998,federicochiesa1998@gmail.com,#000176FT,09120061687
234642,Édouard Mendy,1992,Senegal,douardmendy1992,douardmendy1992@gmail.com,#000177FU,09120062079
233064,Mason Mount,1999,England,masonmount1999,masonmount1999@gmail.com,#000178FV,09120419171
231443,Ousmane Dembélé,1997,France,ousmanedembl1997,ousmanedembl1997@gmail.com,#000179FW,09120065983
230666,Gabriel Fernando de Jesus,1997,Brazil,gabrielfernandodejesus1997,gabrielfernandodejesus1997@gmail.com,#000180FX,09120822292
230658,Arthur Henrique Ramos Oliveira Melo,1997,Brazil,arthurhenriqueramosoliveiramelo1997,arthurhenriqueramosoliveiramelo1997@gmail.com,#000181FY,09120058737
230481,Ronaldo Jailson Cabrais Petri,1992,Brazil,ronaldojailsoncabraispetri1992,ronaldojailsoncabraispetri1992@gmail.com,#000182FZ,09120604406
229880,Aaron Wan-Bissaka,1998,England,aaronwanbissaka1998,aaronwanbissaka1998@gmail.com,#000183GA,09127569584
228618,Ferland Mendy,1995,France,ferlandmendy1995,ferlandmendy1995@gmail.com,#000184GB,09129723816
193082,Juan Cuadrado,1988,Colombia,juancuadrado1988,juancuadrado1988@gmail.com,#000185GC,09120087751
225193,Mikel Merino Zazón,1996,Spain,mikelmerinozazn1996,mikelmerinozazn1996@gmail.com,#000186GD,09120087786
215333,Duván Zapata,1991,Colombia,duvnzapata1991,duvnzapata1991@gmail.com,#000187GE,09911002285
223697,Robin Gosens,1995,Germany,robingosens1995,robingosens1995@gmail.com,#000188GF,09120121983
213565,Thomas Lemar,1996,France,thomaslemar1996,thomaslemar1996@gmail.com,#000189GG,09120123024
213648,Pierre-Emile Højbjerg,1996,Denmark,pierreemilehjbjerg1996,pierreemilehjbjerg1996@gmail.com,#000190GH,09911008793
214997,Ángel Correa,1995,Argentina,ngelcorrea1995,ngelcorrea1995@gmail.com,#000191GI,09911008794
209989,Thomas Partey,1993,Ghana,thomaspartey1993,thomaspartey1993@gmail.com,#000192GJ,09120997145
216354,Andrej Kramarić,1991,Croatia,andrejkramari1991,andrejkramari1991@gmail.com,#000193GK,09126767744
220651,José Ángel Esmoris Tasende,1997,Spain,josngelesmoristasende1997,josngelesmoristasende1997@gmail.com,#000194GL,09120409405
220814,Lucas Hernández,1996,France,lucashernndez1996,lucashernndez1996@gmail.com,#000195GM,09120084081
220834,Marco Asensio Willemsen,1996,Spain,marcoasensiowillemsen1996,marcoasensiowillemsen1996@gmail.com,#000196GN,09120045506
223689,Wout Weghorst,1993,Netherlands,woutweghorst1993,woutweghorst1993@gmail.com,#000197GO,09106868086
211688,José Luís Gayà Peña,1995,Spain,joslusgaypea1995,joslusgaypea1995@gmail.com,#000198GP,09190765505
234396,Alphonso Davies,2001,Canada,alphonsodavies2001,alphonsodavies2001@gmail.com,#000199GQ,09120049979
230869,Unai Simón Mendibil,1997,Spain,unaisimnmendibil1997,unaisimnmendibil1997@gmail.com,#000200GR,09120087149
231943,Richarlison de Andrade,1997,Brazil,richarlisondeandrade1997,richarlisondeandrade1997@gmail.com,#000201GS,09120087156
232488,Cristian Romero,1998,Argentina,cristianromero1998,cristianromero1998@gmail.com,#000202GT,09900300049
233096,Denzel Dumfries,1996,Netherlands,denzeldumfries1996,denzeldumfries1996@gmail.com,#000203GU,09900300052
233419,Raphael Dias Belloli,1997,Brazil,raphaeldiasbelloli1997,raphaeldiasbelloli1997@gmail.com,#000204GV,09900300054
233731,Alexander Isak,2000,Sweden,alexanderisak2000,alexanderisak2000@gmail.com,#000205GW,09900300056
241461,Ferran Torres García,2000,Spain,ferrantorresgarca2000,ferrantorresgarca2000@gmail.com,#000206GX,09127654175
234943,Florian Neuhaus,1997,Germany,florianneuhaus1997,florianneuhaus1997@gmail.com,#000207GY,09914505031
235410,Youssef En-Nesyri,1997,Morocco,youssefennesyri1997,youssefennesyri1997@gmail.com,#000208GZ,09914505064
235569,Tanguy Ndombele,1997,France,tanguyndombele1997,tanguyndombele1997@gmail.com,#000209HA,09914505065
236792,Tomáš Souček,1995,Czech Republic,tomsouek1995,tomsouek1995@gmail.com,#000210HB,09914505067
240130,Éder Gabriel Militão,1998,Brazil,dergabrielmilito1998,dergabrielmilito1998@gmail.com,#000211HC,09914505068
230168,Raphael William Anjos Rochedo,1988,Brazil,raphaelwilliamanjosrochedo1988,raphaelwilliamanjosrochedo1988@gmail.com,#000212HD,09914505069
241464,Pau Francisco Torres,1997,Spain,paufranciscotorres1997,paufranciscotorres1997@gmail.com,#000213HE,09914505078
241671,Dominik Livaković,1995,Croatia,dominiklivakovi1995,dominiklivakovi1995@gmail.com,#000214HF,09914505097
244260,Daniel Olmo Carvajal,1998,Spain,danielolmocarvajal1998,danielolmocarvajal1998@gmail.com,#000215HG,09914444703
230375,Josué Durval Chiamulera Vaz,1992,Brazil,josudurvalchiamuleravaz1992,josudurvalchiamuleravaz1992@gmail.com,#000216HH,09901220082
227796,Christian Pulisic,1999,United States,christianpulisic1999,christianpulisic1999@gmail.com,#000217HI,09901220112
229984,Ben Chilwell,1997,England,benchilwell1997,benchilwell1997@gmail.com,#000218HJ,09901220119
220697,James Maddison,1997,England,jamesmaddison1997,jamesmaddison1997@gmail.com,#000219HK,09129726080
212190,Niklas Süle,1996,Germany,niklassle1996,niklassle1996@gmail.com,#000220HL,09124447198
212462,Alex Nicolao Telles,1993,Brazil,alexnicolaotelles1993,alexnicolaotelles1993@gmail.com,#000221HM,09190764844
212523,Anderson Souza Conceição,1994,Brazil,andersonsouzaconceio1994,andersonsouzaconceio1994@gmail.com,#000222HN,09918888954
212616,Rodrigo Javier De Paul,1994,Argentina,rodrigojavierdepaul1994,rodrigojavierdepaul1994@gmail.com,#000223HO,09122881394
216547,Rafael A. Ferreira Silva,1993,Portugal,rafaelaferreirasilva1993,rafaelaferreirasilva1993@gmail.com,#000224HP,09910111145
219693,Diego Carlos Santos Silva,1993,Brazil,diegocarlossantossilva1993,diegocarlossantossilva1993@gmail.com,#000225HQ,09910111164
220018,Ante Rebić,1994,Croatia,anterebi1994,anterebi1994@gmail.com,#000226HR,09910111196
120533,Képler Laveran Lima Ferreira,1983,Portugal,kplerlaveranlimaferreira1983,kplerlaveranlimaferreira1983@gmail.com,#000227HS,09910111136
222077,Manuel Locatelli,1998,Italy,manuellocatelli1998,manuellocatelli1998@gmail.com,#000228HT,09120089786
229906,Leon Bailey,1998,Jamaica,leonbailey1998,leonbailey1998@gmail.com,#000229HU,09129445755
222665,Martin Ødegaard,1999,Norway,martindegaard1999,martindegaard1999@gmail.com,#000230HV,09120995977
224293,Rúben Diogo da Silva Neves,1997,Portugal,rbendiogodasilvaneves1997,rbendiogodasilvaneves1997@gmail.com,#000231HW,09129446099
224458,Diogo José Teixeira da Silva,1997,Portugal,diogojosteixeiradasilva1997,diogojosteixeiradasilva1997@gmail.com,#000232HX,09129447743
225100,Joe Gomez,1997,England,joegomez1997,joegomez1997@gmail.com,#000233HY,09120906935
226271,Fabián Ruiz Peña,1996,Spain,fabinruizpea1996,fabinruizpea1996@gmail.com,#000234HZ,09128756866
229391,João Maria Palhinha Gonçalves,1996,Portugal,joomariapalhinhagonalves1996,joomariapalhinhagonalves1996@gmail.com,#000235IA,09921222023
